first_name,last_name,email
barak,obama,barakobama@gmail.com
elon,musk,elonmusk@gmail.com
abdul,kalam,abdulkalam@gmail.com
mohammed,ali,mohammedali@gmail.com
sundar,pichai,sundarpichai@gmail.com
bill,gates,billgates@gmail.com
mark,zuckerberg,markzuckerberg@gmail.com
steve,jobs,stevejobs@gmail.com
jeff,bezos,jeffbezos@gmail.com
malala,yousafzai,malalayousafzai@gmail.com
serena,williams,serenawilliams@gmail.com
cristiano,ronaldo,cristianoronaldo@gmail.com
lionel,messi,lionelmessi@gmail.com
oprah,winfrey,oprahwinfrey@gmail.com
greta,thunberg,gretathunberg@gmail.com
marie,curie,mariecurie@gmail.com
isaac,newton,isaacnewton@gmail.com
albert,einstein,alberteinstein@gmail.com
nelson,mandela,nelsonmandela@gmail.com
leonardo,davinci,leonardodavinci@gmail.com
